Date,VAT Quarter,Quarter Number (HMRC),Supplier Name,Description / Memo, Gross Amount (£) , VAT (£) , Net Amount (£) ,Notes
26/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,COMPLIANCE SECURITY SERVICES LTD,"COMPLIANCE SECURIT    	AS INVOICED BBP	"," 4,849.00 ", 808.17 ," 4,040.83 ",
14/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Creditsafe Business Solutions Limited,"CREDIT SAFE           	949818 FT	", 240.00 , 40.00 , 200.00 ,
09/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,FIRST INSURANCE,"FIRST INSURANCE SO    	GUARDIANFM FT	"," 2,786.40 ",," 2,786.40 ",
25/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,GOOD GUARDING LTD,"GOOD GUARDING LTD     	INVOICE BBP	"," 2,937.60 ", 489.60 ," 2,448.00 ",
11/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,IMPAKTRO LTD,"IMPAKTRO LTD          	AS INVOICED FT	"," 30,000.00 "," 5,000.00 "," 25,000.00 ",
08/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,IMPAKTRO LTD,"IMPAKTRO LTD          	AS INVOICED FT	"," 32,250.80 "," 5,375.13 "," 26,875.67 ",
05/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	05331910/001 DDR	", 51.32 , 8.55 , 42.77 ,
11/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	GED37460874 DDR	", 29.76 , 4.96 , 24.80 ,
22/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	GED61207858 DDR	", 46.72 , 7.79 , 38.93 ,
07/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	05331910/001 DDR	", 51.32 , 8.55 , 42.77 ,
12/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	GED37460874 DDR	", 29.76 , 4.96 , 24.80 ,
21/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	GED61207858 DDR	", 21.32 , 3.55 , 17.77 ,
06/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	05331910/001 DDR	", 51.32 , 8.55 , 42.77 ,
12/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	GED37460874 DDR	", 29.76 , 4.96 , 24.80 ,
20/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,O2 (UK) LIMITED T/A Telefónica UK Limited,"O2                    	GED61207858 DDR	", 21.32 , 3.55 , 17.77 ,
16/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,SAGE SOFTWARE LTD,"SAGE SOFTWARE LTD     PCNHPQC	FIRST DDR PAYM", 216.61 ,, 216.61 ,
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,SAGE SOFTWARE LTD,"SAGE SOFTWARE LTD     	PCNHPQC DDR	", 129.14 , 21.52 , 107.62 ,
15/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,SHAHSS LTD,"SHAHSS LTD            	AS PER INVOICE FT	"," 20,923.05 "," 3,487.18 "," 17,435.88 ",
12/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,SHAHSS LTD,"SHAHSS LTD            	AS PER INVOICE FT	"," 25,870.10 "," 4,311.68 "," 21,558.42 ",
22/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Taurus Investigation and Protection Services Ltd,"TAURUS INVESTIGATI    	INVOICE BBP	"," 6,707.75 "," 1,117.96 "," 5,589.79 ",
23/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Taurus Investigation and Protection Services Ltd,"TAURUS INVESTIGATI    	INVOICE027 FT	"," 13,536.93 "," 2,256.16 "," 11,280.78 ",
10/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Wave Tel Ltd,"WAVETEL BUSINESS      	1001054 DDR	", 132.70 , 22.12 , 110.58 ,
08/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Wave Tel Ltd,"WAVETEL BUSINESS      	1001054 DDR	", 135.36 , 22.56 , 112.80 ,
07/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Wave Tel Ltd,"WAVETEL BUSINESS      	1001054 DDR	", 128.64 , 21.44 , 107.20 ,
30/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED BBP	"," 4,900.00 ", 816.67 ," 4,083.33 ",
21/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED FT	"," 5,000.00 ", 833.33 ," 4,166.67 ",
07/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED FT	"," 20,000.00 "," 3,333.33 "," 16,666.67 ",
11/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED FT	"," 20,000.00 "," 3,333.33 "," 16,666.67 ",
13/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED FT	"," 22,000.00 "," 3,666.67 "," 18,333.33 ",
14/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED FT	"," 6,000.00 "," 1,000.00 "," 5,000.00 ",
20/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED FT	"," 2,000.00 ", 333.33 ," 1,666.67 ",
24/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Xtreme Professional Cleaning Ltd,"XTREME PROFESSIONA    	AS INVOICED BBP	"," 15,000.00 "," 2,500.00 "," 12,500.00 ",
09/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,1Password,"1PASSWORD             CANADA	AMOUNT IN USD	4", 4.25 , 0.71 , 3.54 ,
09/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,1Password,"1PASSWORD             CANADA	AMOUNT IN USD	4", 4.48 , 0.75 , 3.73 ,
10/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,1Password,"1PASSWORD             CANADA	AMOUNT IN USD	4", 4.63 , 0.77 , 3.86 ,
24/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,AAGUARD LTD,"AAGUARD LTD           	AS INVOICED BBP	"," 5,380.20 ", 896.70 ," 4,483.50 ",
07/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,ACM-CCAS LTD,"ACM-CCAS LTD          	00020612 FT	", 560.00 , 93.33 , 466.67 ,
08/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE PRODUCTS        IRELAND	ON 06 AUG BDC	", 9.98 ,, 9.98 ,
11/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE ACROPRO SUBS    IRELAND	ON 10 AUG BDC	", 15.17 ,, 15.17 ,
15/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE ACROPRO SUBS    IRELAND	ON 14 AUG BDC	", 15.17 ,, 15.17 ,
07/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE PRODUCTS        IRELAND	ON 06 SEP BDC	", 9.98 ,, 9.98 ,
12/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE ACROPRO SUBS    IRELAND	ON 10 SEP BDC	", 15.17 ,, 15.17 ,
15/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE ACROPRO SUBS    IRELAND	ON 14 SEP BDC	", 15.17 ,, 15.17 ,
07/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE PRODUCTS        IRELAND	ON 06 OCT CPM	", 9.98 ,, 9.98 ,
10/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE ACROPRO SUBS    IRELAND	ON 10 OCT CPM	", 15.17 ,, 15.17 ,
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,ADOBE ACROBAT,"ADOBE ACROPRO SUBS    IRELAND	ON 14 OCT CPM	", 15.17 ,, 15.17 ,
22/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Alliance Facilities Management Limited,"ALLIANCE FACILITY     	AS INVOICED BBP	"," 20,670.00 "," 3,445.00 "," 17,225.00 ",
03/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Alliance Facilities Management Limited,"ALLIANCE FACILITY     	AS INVOICED BBP	"," 10,361.00 "," 1,726.83 "," 8,634.17 ",
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,AMAZON,"AMZNFreeTime          	ON 15 OCT BDC	", 3.99 , 0.67 , 3.33 ,
14/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Amazon Prime Video,"Prime Video           	ON 13 SEP BDC	", 8.99 , 1.50 , 7.49 ,
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Amazon Prime Video,"Prime Video           	ON 14 OCT BDC	", 8.99 , 1.50 , 7.49 ,
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Amazon Prime Video,"Prime Video *QH6JH    	ON 16 OCT BDC	", 4.99 , 0.83 , 4.16 ,
28/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE STORE R410      	ON 27 OCT BDC	", 549.00 , 91.50 , 457.50 ,
05/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 04 AUG BDC	", 79.99 , 13.33 , 66.66 ,
31/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/UK          IRELAND	ON 29 OCT BDC	", 49.00 , 8.17 , 40.83 ,
25/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 24 AUG BDC	", 15.99 , 2.67 , 13.33 ,
26/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 24 SEP BDC	", 15.99 , 2.67 , 13.33 ,
25/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 24 OCT BDC	", 15.99 , 2.67 , 13.33 ,
03/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 02 AUG BDC	", 6.99 , 1.17 , 5.83 ,
05/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 02 SEP BDC	", 6.99 , 1.17 , 5.83 ,
03/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 02 OCT BDC	", 6.99 , 1.17 , 5.83 ,
28/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Apple,"APPLE.COM/BILL        IRELAND	ON 28 OCT BDC	", 4.49 , 0.75 , 3.74 ,
10/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,ARGOS LTD,"ARGOS LTD             	ON 09 OCT BDC	", 140.99 , 23.50 , 117.49 ,
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,ARGOS LTD,"ARGOS LTD             	ON 15 OCT BDC	", 140.30 , 23.38 , 116.92 ,
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,ARGOS LTD,"ARGOS LTD             	ON 15 OCT CLP	", 70.30 , 11.72 , 58.58 ,
10/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,AUDRONE URBONIENE,"AUDRONE URBONIENE     	CLEANING FT	", 225.00 ,, 225.00 ,
24/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,AUDRONE URBONIENE,"AUDRONE URBONIENE     	CLEANING FT	", 100.00 ,, 100.00 ,
28/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,BACK MARKET UK LTD,"Back Market UK Ltd    	ON 27 SEP BDC	", 270.99 , 45.17 , 225.83 ,
01/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Bank Charges,Debit Wise ON 29 JUL BD, 45.00 , 7.50 , 37.50 ,
01/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Bank Charges,Debit Wise ON 29 JUL BDC, 20.09 , 3.35 , 16.74 ,
04/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Bank Charges,"CHARGES               COMMISSION FOR	PERIOD ", 8.50 ,, 8.50 ,
08/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Bank Charges,"Wise                  	ON 06 AUG BDC	", 17.02 , 2.84 , 14.18 ,
05/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Bank Charges,"Wise                  	ON 04 SEP BDC	", 45.00 , 7.50 , 37.50 ,
06/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Bank Charges,"CHARGES               COMMISSION FOR	PERIOD ", 8.50 ,, 8.50 ,
05/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Bank Charges,"CHARGES               COMMISSION FOR	PERIOD ", 8.50 ,, 8.50 ,
21/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,BARCLAYCARD,"BARCLAYCARD           	ON 19 OCT BDC	"," 5,900.00 ",," 5,900.00 ",
29/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,BARK.COM GLOBAL LIMITED,"BARK.COM              	ON 28 SEP BDC	", 177.84 , 29.64 , 148.20 ,
19/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,BARK.COM GLOBAL LIMITED,"BARK.COM              	ON 18 OCT BDC	", 177.84 , 29.64 , 148.20 ,
21/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,BARRATT SMITH BROW,"BARRATT SMITH BROW    	ON 20 SEP BDC	"," 1,260.66 ", 210.11 ," 1,050.55 ",
12/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,BLUE BIRD HOUSING LTD,"BLUE BIRD HOUSING     	79 HOE STREET E17 BBP"," 1,458.33 ", 243.06 ," 1,215.28 ",
26/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,BRIGHTWORK PRO LTD,"BRIGHTWORKPRO LTD     	REFURB BBP	"," 1,000.00 ",," 1,000.00 ",
31/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,BRIGHTWORK PRO LTD,"BRIGHTWORKPRO LTD     	REFURB FT	"," 1,000.00 ", 166.67 , 833.33 ,
01/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,BRITISH RED CROSS,"BRITISH RED CROSS     	AS8788335 DDR	", 10.00 , 1.67 , 8.33 ,
01/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,BRITISH RED CROSS,"BRITISH RED CROSS     	AS8788335 DDR	", 10.00 , 1.67 , 8.33 ,
03/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,BRITISH RED CROSS,"BRITISH RED CROSS     	AS8788335 DDR	", 10.00 , 1.67 , 8.33 ,
05/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,BUY IT DIRECT,"BUY IT DIRECT         	ON 04 AUG BDC	", 42.00 , 7.00 , 35.00 ,
26/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,C MAK SERVICES,"C MAK SERVICES        	AS PER INVOICE BBP	"," 4,000.00 ", 666.67 ," 3,333.33 ",
30/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,CASTLE WATER LTD,"CASTLE WATER LTD      	TW6717224001 DDR	", 12.57 ,, 12.57 ,
28/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,CASTLE WATER LTD,"CASTLE WATER LTD      	TW6717224001 DDR	", 12.57 ,, 12.57 ,
28/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,CASTLE WATER LTD,"CASTLE WATER LTD      	TW6717224001 DDR	", 12.57 ,, 12.57 ,
12/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Circle Waste,"CIRCLE WASTE LTD      	ON 11 OCT BDC	", 414.00 ,, 414.00 ,
15/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,CLOUDWAYSLTD,"CloudwaysLTD          MALTA	AMOUNT IN USD	13", 118.74 ,, 118.74 ,
13/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,CLOUDWAYSLTD,"CloudwaysLTD          MALTA	AMOUNT IN USD	13", 123.84 ,, 123.84 ,
11/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,CLOUDWAYSLTD,"CloudwaysLTD          MALTA	AMOUNT IN USD	13", 130.42 ,, 130.42 ,
26/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,COINRULE LIMITED,"Coinrule Limited      AMOUNT IN USD	39.99	ON", 34.87 , 5.81 , 29.06 ,
26/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,COINRULE LIMITED,"Coinrule Limited      AMOUNT IN USD	39.99	ON", 37.63 , 6.27 , 31.36 ,
26/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,COINRULE LIMITED,"Coinrule Limited      AMOUNT IN USD	39.99	ON", 36.49 , 6.08 , 30.41 ,
08/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,COMPANIESMADESIMPLE LIMITED,"COMPANIES MADE SIM    	ON 05 AUG BDC	", 71.99 , 12.00 , 59.99 ,
01/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,COVENTRY.AC.UK,"WWW.COVENTRY.AC.UK    	ON 30 JUL BDC	"," 8,000.00 "," 1,333.33 "," 6,666.67 ",
31/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Credit Invoice - Supplier,," 150,000.00 "," 25,000.00 "," 125,000.00 ",
03/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,CURRYS,"CURRYS ROMFORD        	ON 02 OCT BDC	", 149.00 , 24.83 , 124.17 ,
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,CURRYS,"CURRYS ROMFORD        	ON 15 OCT BDC	", 166.98 , 27.83 , 139.15 ,
19/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,CURRYS,"CURRYS ONLINE         	ON 18 OCT BDC	", 500.80 , 83.47 , 417.33 ,
13/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Delta Force Group Ltd ,"DELTA FORCE GROUP     	AS INVOICED FT	"," 12,798.00 "," 2,133.00 "," 10,665.00 ",
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Delta Force Group Ltd ,"DELTA FORCE GROUP     	AS INVOICED FT	"," 12,798.00 "," 2,133.00 "," 10,665.00 ",
17/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Delta Force Group Ltd ,"DELTA FORCE GROUP     	AS INVOICED FT	"," 17,550.96 "," 2,925.16 "," 14,625.80 ",
15/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,Dropbox,"Dropbox               IRELAND	ON 13 AUG BDC	", 9.99 ,, 9.99 ,
14/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Dropbox,"Dropbox               IRELAND	ON 13 SEP BDC	", 9.99 ,, 9.99 ,
14/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Dropbox,"Dropbox               IRELAND	ON 13 OCT BDC	", 9.99 ,, 9.99 ,
03/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Dunelm Soft,"DUNELM (SOFT FURNI    	ON 02 OCT BDC	", 239.95 , 39.99 , 199.96 ,
07/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Dunelm Soft,"DUNELM (SOFT FURNI    	ON 06 OCT BDC	", 258.00 , 43.00 , 215.00 ,
10/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,Dunelm Soft,"DUNELM (SOFT FURNI    	ON 07 OCT BDC	", 162.75 , 27.13 , 135.63 ,
24/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,EE LIMITED,"EE LIMITED            	Q75528830349019204 DD", 116.45 , 19.41 , 97.04 ,
26/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,EE LIMITED,"EE LIMITED            	Q75528830357159703 DD", 75.09 , 12.52 , 62.58 ,
24/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,EE LIMITED,"EE LIMITED            	Q75528830365359023 DD", 58.67 , 9.78 , 48.89 ,
20/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,EFFICIENTH,"PAYPAL *EFFICIENTH    	ON 18 OCT BDC	", 185.00 ,, 185.00 ,
14/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,Envato AUSTRALIA,"Envato                AUSTRALIA	AMOUNT IN EU", 186.52 , 31.09 , 155.43 ,
05/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,ESET.com UK,"ESET.com UK           	ON 02 SEP BDC	", 39.90 , 6.65 , 33.25 ,
12/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,EZVIZ,"PAYPAL *EZVIZ INC     USA	ON 09 SEP BDC	", 74.99 , 12.50 , 62.49 ,
04/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,FACEBOOK,"FACEBK FP9UCGXQY2     IRELAND	AMOUNT IN PKR	", 11.13 ,, 11.13 ,
15/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,FACEBOOK,"FACEBK 79EZYG3RY2     IRELAND	AMOUNT IN PKR	", 118.41 ,, 118.41 ,
30/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,FACEBOOK,"FACEBK NS74VHFRY2     IRELAND	AMOUNT IN PKR	", 24.38 ,, 24.38 ,
30/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,FACEBOOK,"FACEBK Z9WLEHPQY2     IRELAND	AMOUNT IN PKR	", 119.24 ,, 119.24 ,
30/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,FACEBOOK,"FACEBK 6UA7SJTQY2     IRELAND	AMOUNT IN PKR	", 140.06 ,, 140.06 ,
21/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,FACEBOOK,"FACEBK WD5TWJKRY2     IRELAND	AMOUNT IN PKR	", 166.68 ,, 166.68 ,
31/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,FACEBOOK,"FACEBK K4ZEXH7RY2     IRELAND	AMOUNT IN PKR	", 110.63 ,, 110.63 ,
30/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,FENCEPIECE DENTAL,"FENCEPIECE DENTAL     	ON 29 SEP BDC	", 125.00 , 20.83 , 104.17 ,
12/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,First Allied Facilities Ltd,"FIRST ALLIED FACIL    	AS INVOICED FT	"," 2,592.00 ", 432.00 ," 2,160.00 ",
28/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,First Allied Facilities Ltd,"FIRST ALLIED FACIL    	AS INVOICED BBP	"," 2,664.00 ", 444.00 ," 2,220.00 ",
26/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,First Allied Facilities Ltd,"FIRST ALLIED FACIL    	AS INVOICED BBP	"," 2,691.00 ", 448.50 ," 2,242.50 ",
31/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,First Allied Facilities Ltd,"FIRST ALLIED FACIL    	AS INVOICED BBP	", 99.00 , 16.50 , 82.50 ,
08/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,First4Freelancers Ltd,"FIRST4FREELANCERS     	GUARDIANFM FT	"," 50,000.00 "," 8,333.33 "," 41,666.67 ",
08/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,First4Freelancers Ltd,"FIRST4FREELANCERS     	GUARDIANFM BBP	"," 50,000.00 "," 8,333.33 "," 41,666.67 ",
12/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,FIVERR,"PAYPAL *FIVERR COM    ISRAEL	ON 10 OCT CPM	", 54.69 ,, 54.69 ,
31/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,FORMATIONSCOMPANY,"FORMATIONSCOMPANY     	ON 30 AUG BDC	", 17.99 ,, 17.99 ,
03/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,FORMATIONSCOMPANY,"FORMATIONSCOMPANY     	ON 30 SEP BDC	", 17.99 ,, 17.99 ,
06/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,FORUM,"FORUM EVENTS + MED    	18195 BBP	"," 3,600.00 ", 600.00 ," 3,000.00 ",
03/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,FREELANCER.COM,"FREELANCER.COM        	ON 26 SEP BDC	", 138.41 ,, 138.41 ,
23/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,GETADDRESS.IO,"GETADDRESS.IO         	ON 22 AUG BDC	", 14.40 , 2.40 , 12.00 ,
23/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,GETADDRESS.IO,"GETADDRESS.IO         	ON 22 SEP BDC	", 14.40 , 2.40 , 12.00 ,
24/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,GETADDRESS.IO,"GETADDRESS.IO         	ON 22 OCT BDC	", 14.40 , 2.40 , 12.00 ,
08/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,GODADDY,"DNH*GODADDY.COM PK    USA	AMOUNT IN PKR	899.", 3.43 ,, 3.43 ,
06/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,GODADDY,"DNH*GODADDY.COM PK    USA	AMOUNT IN PKR	1319", 5.41 ,, 5.41 ,
06/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,GODADDY,"DNH*GODADDY.COM PK    USA	AMOUNT IN PKR	1319", 5.40 ,, 5.40 ,
17/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,GOOGLE,"PAYPAL *GOOGLE YOU    	ON 16 AUG BDC	", 11.99 ,, 11.99 ,
30/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,GOOGLE,"GOOGLE *Google Sto    	ON 28 AUG BDC	", 1.59 ,, 1.59 ,
20/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,GOOGLE,"PAYPAL *GOOGLE YOU    	ON 16 SEP BDC	", 11.99 ,, 11.99 ,
29/09/2022,6. Aug'22 to Oct'22,Q4 - 2022,GOOGLE,"GOOGLE *Google Sto    	ON 28 SEP BDC	", 1.59 ,, 1.59 ,
31/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,GOOGLE,"GOOGLE *Google Sto    	ON 28 OCT BDC	", 1.59 ,, 1.59 ,
25/08/2022,6. Aug'22 to Oct'22,Q4 - 2022,GUARDS 24/7 LTD,"GUARDS 24/7 LTD       	AS INVOICED BBP	", 931.00 , 155.17 , 775.83 ,
31/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,GUARDS 24/7 LTD,"GUARDS 24/7 LTD       	AS INVOICED BBP	"," 1,308.00 ", 218.00 ," 1,090.00 ",
14/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,HANNAH JANE BRAD,"HANNAH JANE BRAD      	CLEANER CHARGES120 FT", 65.00 ,, 65.00 ,
12/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,HOLIDAY INN,"HOLIDAY INN           	ON 11 OCT BDC	", 115.50 , 19.25 , 96.25 ,
06/10/2022,6. Aug'22 to Oct'22,Q4 - 2022,"HOUSEKEEP_2788569 	ON","HOUSEKEEP_2788569     	ON 05 OCT BDC	", 310.00 , 51.67 , 258.33 ,
